Target,Port,Protocol,State
104.22.55.228,21,tcp,filtered
104.22.55.228,22,tcp,filtered
104.22.55.228,23,tcp,filtered
104.22.55.228,53,tcp,closed
104.22.55.228,80,tcp,open
104.22.55.228,110,tcp,filtered
104.22.55.228,111,tcp,filtered
104.22.55.228,135,tcp,filtered
104.22.55.228,139,tcp,filtered
104.22.55.228,143,tcp,filtered
104.22.55.228,190,tcp,filtered
104.22.55.228,443,tcp,open
104.22.55.228,445,tcp,filtered
104.22.55.228,993,tcp,filtered
104.22.55.228,995,tcp,filtered
104.22.55.228,1024,tcp,filtered
104.22.55.228,1723,tcp,filtered
104.22.55.228,3306,tcp,filtered
104.22.55.228,3389,tcp,filtered
104.22.55.228,3390,tcp,filtered
104.22.55.228,4000,tcp,filtered
104.22.55.228,5900,tcp,filtered
104.22.55.228,4444,tcp,filtered
104.22.55.228,8000,tcp,filtered
104.22.55.228,8080,tcp,open
104.22.55.228,8888,tcp,filtered
